"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2023 7:00:53 p.m. PDT","17642991051","Order","702-0522295-4596241","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Nepean","Ontario","K2J 0M6","Combined TCS+MTC","45.45","5.91","0","0","0","0","0","0","0","0","-5.91","-6.82","-5.92","0","0","32.71"
"Apr 2, 2023 5:49:53 p.m. PDT","17642991051","Order","702-1283138-4627406","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","3","amazon.ca","Amazon","St-Pascal-Baylon","Ontario","K0A 3N0","Combined TCS+MTC","136.35","17.73","0","0","0","0","0","0","0","0","-17.73","-20.46","-17.77","0","0","98.12"
"Apr 3, 2023 8:29:46 a.m. PDT","17642991051","Order","701-1123371-3381056","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","2","amazon.ca","Amazon","Surrey","British Columbia","V3Z9R9","Combined TCS+MTC","90.90","10.90","0","0","0","0","0","0","0","0","-10.90","-13.64","-11.84","0","0","65.42"
"Apr 4, 2023 3:24:00 p.m. PDT","17642991051","Order","702-0290097-3125074","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Sherwood Park","Alberta","T8A 3C8","Combined TCS+MTC","45.45","2.27","0","0","0","0","0","0","0","0","-2.27","-6.82","-5.92","0","0","32.71"
"Apr 5, 2023 12:19:28 a.m. PDT","17642991051","Order","702-1714369-6372233","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Edmonton","Alberta","T6W 4K9","Combined TCS+MTC","45.45","2.27","0","0","0","0","0","0","0","0","-2.27","-6.82","-5.92","0","0","32.71"
"Apr 5, 2023 5:56:49 a.m. PDT","17642991051","Order","702-6505838-9439464","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Tsawwassen","British Columbia","V4M 2K2","Combined TCS+MTC","45.45","5.45","0","0","0","0","0","0","0","0","-5.45","-6.82","-6.33","0","0","32.30"
"Apr 8, 2023 2:16:37 a.m. PDT","17731676901","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.63","-2.63"
"Apr 8, 2023 3:24:26 a.m. PDT","17731676901","Order","702-8019267-1804231","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Calgary","Alberta","T3H 1Z3","Combined TCS+MTC","45.45","2.27","0","0","0","0","0","0","0","0","-2.27","-6.82","-5.92","0","0","32.71"
"Apr 8, 2023 10:23:46 p.m. PDT","17731676901","Order","702-1434964-9785001","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Scarborough","Ontario","M1E 4B4","Combined TCS+MTC","45.45","5.91","0","0","0","0","0","0","0","0","-5.91","-6.82","-5.92","0","0","32.71"
"Apr 9, 2023 9:52:05 p.m. PDT","17731676901","Order","701-3936830-8487452","G8-5O0W-VBW6","Solar Mole Spike 2 Packs - Weather-Resistant Solar Mole Repeller for Mole, Snake, Gopher, Vole and Other Animals - Humane Deterrent Repels Moles from","1","amazon.ca","Amazon","Toronto","Ontario","M4A 2X3","Combined TCS+MTC","45.45","5.91","0","0","0","0","0","0","0","0","-5.91","-6.82","-5.92","0","0","32.71"
