"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 7, 2024 7:50:02 p.m. PDT","20834996231","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.04","-2.04"
"Jul 25, 2024 12:27:42 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.60","-3.60"
"Jul 25, 2024 12:27:55 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.60","-12.60"
"Jul 25, 2024 12:28:03 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.88","-2.88"
"Jul 25, 2024 12:28:03 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.36","-0.36"
"Jul 25, 2024 12:28:11 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-7.56","-7.56"
"Jul 25, 2024 12:28:16 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.36","-0.36"
"Jul 25, 2024 12:28:20 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.60","-12.60"
"Jul 25, 2024 12:28:25 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.39","-0.39"
"Jul 25, 2024 12:28:36 a.m. PDT","20940413721","FBA Inventory Fee","240507B5H","","FBA Removal Order: Return Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.60","-12.60"
