"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tous les montants sont en EUR, sauf mention contraire.",,,,,,,,,,,,,,,,,,,,,,,,,,
Définitions :,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage.",,,,,,,,,,,,,,,,,,,,,,,,,,
Frais de vente : Incluent des frais de clôture variable et des frais de référence.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition",,,,,,,,,,,,,,,,,,,,,,,,,,
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande.",,,,,,,,,,,,,,,,,,,,,,,,,,
date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
8 mai 2024 11:48:11 UTC,21255358512,Frais de stock Expédié par Amazon,,,Frais de transport entrant ,,Amazon.fr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 mai 2024 11:48:11 UTC,21255358512,Frais de stock Expédié par Amazon,,,Frais du service de transport entrant,,Amazon.fr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 mai 2024 16:04:16 UTC,21255358512,Frais de stock Expédié par Amazon,,,Frais de stockage Expédié par Amazon,,Amazon.fr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-1,78","-1,78"
14 mai 2024 14:43:32 UTC,21255358532,Commande,403-5654276-0450747,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,couzon au mont d or,,69270,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-4,45",0,0,"9,77"
15 mai 2024 21:22:28 UTC,21255358532,Commande,408-4258699-0593929,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,Férolles-Attilly,,77150,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
16 mai 2024 14:49:01 UTC,21255358532,Commande,403-9340014-6522737,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,Lissieu,,69380,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
16 mai 2024 14:56:36 UTC,21255358532,Commande,405-7686824-3372346,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,saint géréon,,44150,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
16 mai 2024 21:52:56 UTC,21255358532,Commande,402-0501825-3576304,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,La Grande-Motte,,34280,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
16 mai 2024 21:53:00 UTC,21255358532,Commande,408-8617997-4842751,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,Noves,Bouches du Rhône,13550,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
16 mai 2024 22:00:14 UTC,21255358532,Commande,407-7844643-7097934,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,Férolles-Attilly,,77150,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
17 mai 2024 07:32:44 UTC,21255358532,Commande,405-0383960-9853133,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,St Simeon De Bressieux,,38870,MarketplaceFacilitator,"17,46","3,49","1,66","0,33",0,0,"-1,66","-0,33","-3,49","-3,24","-2,80",0,0,"11,42"
17 mai 2024 07:33:04 UTC,21255358532,Commande,405-0014567-3433942,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,Chabris,,36210,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
17 mai 2024 10:57:31 UTC,21255358532,Commande,407-0983310-5629141,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,La ravoire,Savoie,73490,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
17 mai 2024 16:12:40 UTC,21255358532,Remboursement,405-7686824-3372346,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,saint géréon,,44150,MarketplaceFacilitator,"-17,46","-3,49",0,0,0,0,0,0,"3,49","2,59",0,0,0,"-14,87"
17 mai 2024 18:58:59 UTC,21255358532,Commande,405-6957074-6329103,D6-VI5T-0HJV,"Multi Pet Collier apaisant pour Chien 25 Pouces - Collier pour Chien aux phéromones, ingrédient sûr - Collier apaisant imperméable pour Chiens - C",1,amazon.fr,Amazon,saint géréon,,44150,MarketplaceFacilitator,"17,46","3,49",0,0,0,0,0,0,"-3,49","-3,24","-2,80",0,0,"11,42"
