"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jun 1, 2024 5:02:40 AM PDT","20672578641","Order","111-5629993-3355437","O8-T874-63ZP","25 Inches Dog Calming Collar Adjustable - Calming Collar for Dogs - Pheromone Calming Dog Collar - Anxiety Collar for Dogs Natural Ingredient - Water-","1","amazon.com","Standard Orders","Amazon","LOS ANGELES","CA","90069-7205","MarketplaceFacilitator","22.95","2.18","0","0","0","0","0","0","0","0","-2.18","-3.44","-3.68","0","0","15.83"
"Jun 1, 2024 6:14:42 AM PDT","20672578641","Order","113-3870761-9990635","O8-T874-63ZP","25 Inches Dog Calming Collar Adjustable - Calming Collar for Dogs - Pheromone Calming Dog Collar - Anxiety Collar for Dogs Natural Ingredient - Water-","1","amazon.com","Standard Orders","Amazon","HOLLYWOOD","FL","33020-4334","MarketplaceFacilitator","22.95","0","0","0","0","0","0","0","0","0","0","-3.44","-3.68","0","0","15.83"
"Jun 1, 2024 9:11:27 AM PDT","20672578641","Order","114-2346346-3872266","E2-EE5Y-OMTQ","2 Packs Bug Zapper Indoor - Mosquito Indoor Killer - Indoor Mosquito Trap - Indoor Bug Zapper for Home - Electric Mosquito Killer - Indoor Mosquito Ki","1","amazon.com","Standard Orders","Amazon","TURLOCK","CA","95382-1445","MarketplaceFacilitator","26.45","2.28","0","0","0","0","0","0","0","0","-2.28","-3.97","-4.15","0","0","18.33"
"Jun 1, 2024 11:31:10 AM PDT","20672578641","Order","111-4217673-9204260","6I-7JV3-2CET","Ultrasonic, Natural, Chemical Free Tick and Flea Repeller - Ultrasonic Flea and Tick Repeller for Dogs and Cats - Flea and Tick Treatment for Dogs, Sa","1","amazon.com","Standard Orders","Amazon","ROCHESTER","NY","14617-2403","MarketplaceFacilitator","25.45","2.04","0","0","0","0","0","0","0","0","-2.04","-3.82","-3.79","0","0","17.84"
"Jun 1, 2024 12:07:52 PM PDT","20672578641","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-504.37","0","-504.37"
"Jun 1, 2024 12:59:04 PM PDT","20672578641","Order","114-4809424-7715415","E2-EE5Y-OMTQ","2 Packs Bug Zapper Indoor - Mosquito Indoor Killer - Indoor Mosquito Trap - Indoor Bug Zapper for Home - Electric Mosquito Killer - Indoor Mosquito Ki","1","amazon.com","Standard Orders","Amazon","SPARTANBURG","SC","29303-1653","MarketplaceFacilitator","26.45","1.85","0","0","0","0","0","0","0","0","-1.85","-3.97","-4.15","0","0","18.33"
"Jun 1, 2024 1:19:34 PM PDT","20672578641","Order","113-8527102-6749803","6I-7JV3-2CET","Ultrasonic, Natural, Chemical Free Tick and Flea Repeller - Ultrasonic Flea and Tick Repeller for Dogs and Cats - Flea and Tick Treatment for Dogs, Sa","1","amazon.com","Standard Orders","Amazon","WEST BOYLSTON","MA","01583-1413","MarketplaceFacilitator","25.45","1.59","0","0","0","0","0","0","0","0","-1.59","-3.82","-3.79","0","0","17.84"
"Jun 1, 2024 2:10:20 PM PDT","20672578641","Order","114-6036870-6324249","E2-EE5Y-OMTQ","2 Packs Bug Zapper Indoor - Mosquito Indoor Killer - Indoor Mosquito Trap - Indoor Bug Zapper for Home - Electric Mosquito Killer - Indoor Mosquito Ki","1","amazon.com","Standard Orders","Amazon","EL SEGUNDO","CA","90245-2621","MarketplaceFacilitator","26.45","2.51","0","0","0","0","0","0","0","0","-2.51","-3.97","-4.15","0","0","18.33"
"Jun 1, 2024 3:54:46 PM PDT","20672578641","Order","111-2007768-7817800","6I-7JV3-2CET","Ultrasonic, Natural, Chemical Free Tick and Flea Repeller - Ultrasonic Flea and Tick Repeller for Dogs and Cats - Flea and Tick Treatment for Dogs, Sa","1","amazon.com","Standard Orders","Amazon","Goode","VA","24556","MarketplaceFacilitator","25.45","1.35","0","0","0","0","0","0","0","0","-1.35","-3.82","-3.79","0","0","17.84"
"Jun 1, 2024 3:57:16 PM PDT","20672578641","Order","111-6046995-9849066","6I-7JV3-2CET","Ultrasonic, Natural, Chemical Free Tick and Flea Repeller - Ultrasonic Flea and Tick Repeller for Dogs and Cats - Flea and Tick Treatment for Dogs, Sa","2","amazon.com","Standard Orders","Amazon","WHITESBORO","TX","76273-3795","MarketplaceFacilitator","50.90","3.18","0","0","0","0","0","0","0","0","-3.18","-7.64","-7.58","0","0","35.68"
"Jun 1, 2024 6:32:16 PM PDT","20672578641","Order","111-6688935-1505842","E2-EE5Y-OMTQ","2 Packs Bug Zapper Indoor - Mosquito Indoor Killer - Indoor Mosquito Trap - Indoor Bug Zapper for Home - Electric Mosquito Killer - Indoor Mosquito Ki","1","amazon.com","Standard Orders","Amazon","POUGHKEEPSIE","NY","12603-4900","MarketplaceFacilitator","26.45","2.15","0","0","0","0","0","0","0","0","-2.15","-3.97","-4.15","0","0","18.33"
"Jun 1, 2024 6:51:57 PM PDT","20672578641","Order","114-9208348-7465829","E2-EE5Y-OMTQ","2 Packs Bug Zapper Indoor - Mosquito Indoor Killer - Indoor Mosquito Trap - Indoor Bug Zapper for Home - Electric Mosquito Killer - Indoor Mosquito Ki","1","amazon.com","Standard Orders","Amazon","CEDAR PARK","TX","78613-5128","MarketplaceFacilitator","26.45","2.18","0","0","0","0","0","0","0","0","-2.18","-3.97","-4.15","0","0","18.33"
"Jun 1, 2024 11:51:35 PM PDT","20672578641","Order","114-8737805-8389868","O8-T874-63ZP","25 Inches Dog Calming Collar Adjustable - Calming Collar for Dogs - Pheromone Calming Dog Collar - Anxiety Collar for Dogs Natural Ingredient - Water-","1","amazon.com","Standard Orders","Amazon","SALT LAKE CITY","UT","84106","MarketplaceFacilitator","22.95","1.71","0","0","0","0","0","0","0","0","-1.71","-3.44","-3.68","0","0","15.83"
