"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 14, 2024 9:25:20 PM PDT","20491786861","Transfer","","","To your account ending in: 537, Bank Transfer ID: 5C3CGAD3STVF0JH","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6.70","-6.70"
"May 16, 2024 12:19:44 AM PDT","20491786861","Service Fee","","","Subscription","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-39.99","-39.99"
"May 17, 2024 4:42:24 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 17, 2024 4:42:27 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 17, 2024 4:42:27 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 17, 2024 4:42:53 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 18, 2024 10:04:50 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 18, 2024 10:05:29 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 18, 2024 10:05:49 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 18, 2024 10:05:53 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 22, 2024 10:27:42 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 24, 2024 1:34:42 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"May 24, 2024 1:34:43 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6.82","-6.82"
"May 24, 2024 1:35:10 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9.77","-9.77"
"May 24, 2024 1:35:11 AM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-13.17","-13.17"
"May 24, 2024 10:02:30 PM PDT","20491786861","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-8.20","-8.20"
"May 29, 2024 7:28:26 PM PDT","20591302071","Order","112-4500859-9925017","TB-43D1-8TPS","2 Packs Bug Zapper Indoor - UV Bug Zapper Indoor - Electric Mosquito Killer - Indoor Bug Zapper for Home - Indoor Mosquito Killer - Mosquito Zapper -","2","amazon.com","Amazon","TAMPA","FL","33606-3917","MarketplaceFacilitator","52.90","3.96","0","0","0","0","0","0","0","0","-3.96","-7.94","-8.30","0","0","36.66"
"May 29, 2024 8:16:06 PM PDT","20591302071","Debt","","","amzn1.cam.v1.sgid.20491786861","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.98","38.98"
"May 30, 2024 11:24:30 AM PDT","20591302071","Order","114-5409212-6910612","92-LEI4-VFNA","Ultrasonic Tick & Flea Repeller for Humans - Emits High Frequencies and Protects Humans Without Harmful Chemicals or Pesticides, Chemical-Free, Natura","1","amazon.com","Amazon","LOUISVILLE","KY","40291-4331","MarketplaceFacilitator","30.00","1.80","0","0","0","0","0","0","0","0","-1.80","-4.50","-3.79","0","0","21.71"
"May 30, 2024 8:29:51 PM PDT","20591302071","Order","113-7794916-9103433","92-LEI4-VFNA","Ultrasonic Tick & Flea Repeller for Humans - Emits High Frequencies and Protects Humans Without Harmful Chemicals or Pesticides, Chemical-Free, Natura","1","amazon.com","Amazon","CADILLAC","MI","49601","MarketplaceFacilitator","30.00","1.80","0","0","0","0","0","0","0","0","-1.80","-4.50","-3.79","0","0","21.71"
"May 30, 2024 11:56:38 PM PDT","20591302071","Order","112-4097894-3395441","92-LEI4-VFNA","JM BAMBOO Ultrasonic Tick & Flea Repeller for Humans - Emits High Frequencies and Protects Humans Without Harmful Chemicals or Pesticides, Chemical-Fr","1","amazon.com","Amazon","BROKEN ARROW","OK","74014-3745","MarketplaceFacilitator","30.00","1.74","0","0","0","0","0","0","0","0","-1.74","-4.50","-3.79","0","0","21.71"
