"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All amounts in USD, unless specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling fees: Includes variable closing fees and referral fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"May 4, 2024 4:05:25 AM PDT",20295232071,Debt,,,amzn1.cam.v1.sgid.20295232051,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
"May 6, 2024 5:03:43 AM PDT",20295232071,Debt,,,amzn1.cam.v1.sgid.20295232051,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
"May 6, 2024 6:46:28 AM PDT",20295232071,Service Fee,,,Subscription,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.99,-39.99
"May 6, 2024 8:42:41 AM PDT",20295232071,Service Fee,,,Cost of Advertising,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95,0,-1.95
"May 6, 2024 9:03:21 AM PDT",20295232071,Order,111-8411556-9381026,62-P070-09CS,4 Packs Solar Animal Repeller Outdoor - Skunk Repellent - Predator Eyes Animal Deterrent - Deer Deterrent Devices - Racoon Repeller Outdoor - Coyote D,1,amazon.com,Standard Orders,Amazon,ALBANY,CA,94706-2529,MarketplaceFacilitator,49.95,5.37,0,0,0,0,0,0,0,0,-5.37,-7.49,-4.15,0,0,38.31
"May 6, 2024 11:24:58 AM PDT",20295232071,Order,113-8448041-5369855,62-P070-09CS,4 Packs Solar Animal Repeller Outdoor - Skunk Repellent - Predator Eyes Animal Deterrent - Deer Deterrent Devices - Racoon Repeller Outdoor - Coyote D,1,amazon.com,Standard Orders,Amazon,OLYMPIA,WA,98516-2322,MarketplaceFacilitator,49.95,4.15,0,0,0,0,0,0,0,0,-4.15,-7.49,-4.15,0,0,38.31
"May 6, 2024 11:25:05 AM PDT",20295232071,Transfer,,,Micro Deposit,,Amazon.com,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01
"May 7, 2024 5:35:01 AM PDT",20295232071,Debt,,,amzn1.cam.v1.sgid.20295232051,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,25.12
"May 7, 2024 11:15:52 AM PDT",20295232071,Order,111-3721611-1155467,62-P070-09CS,4 Packs Solar Animal Repeller Outdoor - Skunk Repellent - Predator Eyes Animal Deterrent - Deer Deterrent Devices - Racoon Repeller Outdoor - Coyote D,1,amazon.com,Standard Orders,Amazon,SAN DIEGO,CA,92104-4252,MarketplaceFacilitator,49.95,3.87,0,0,0,0,0,0,0,0,-3.87,-7.49,-4.15,0,0,38.31
"May 7, 2024 2:45:47 PM PDT",20295232071,Service Fee,,,Cost of Advertising,,,Standard Orders,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.22,0,-51.22
