"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fba fees","other transaction fees","other","total"
"7 Sept 2023 2:04:48 am GMT+9","11488240723","FBA Inventory Fee","","","FBA storage fee","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-4.92","-4.92"
"10 Sept 2023 10:02:26 pm GMT+9","11500469613","Order","250-9096829-3312639","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","3","amazon.com.au","Amazon","TIGHES HILL","NSW","2297","45.75","7.99","0","-7.99","0","0","-6.59","-33.56","0","0","5.60"
"11 Sept 2023 9:44:10 pm GMT+9","11500469613","Debt","","","amzn1.cam.v1.sgid.11488240723","","","","","","","0","0","0","0","0","0","0","0","0","0.77","0.77"
"13 Sept 2023 9:50:11 pm GMT+9","11500469613","Debt","","","amzn1.cam.v1.sgid.11488240723","","","","","","","0","0","0","0","0","0","0","0","0","0.77","0.77"
"15 Sept 2023 10:29:24 pm GMT+9","11500469613","Order","503-2752666-1883832","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","Brighton East","VIC","3187","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
"16 Sept 2023 7:39:18 pm GMT+9","11500469613","Order","250-5227952-8623021","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","OYSTER BAY","NSW","2225","15.25","1.50","0","0","0","0","-4.39","-14.18","0","0","-1.82"
"16 Sept 2023 7:39:18 pm GMT+9","11500469613","Order","250-5227952-8623021","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","OYSTER BAY","NSW","2225","15.25","1.49","0","0","0","0","0","-11.19","0","0","5.55"
"16 Sept 2023 9:59:41 pm GMT+9","11500469613","Debt","","","amzn1.cam.v1.sgid.11488240723","","","","","","","0","0","0","0","0","0","0","0","0","0.38","0.38"
"17 Sept 2023 3:23:51 am GMT+9","11500469613","Order","250-2264724-8652640","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","DECEPTION BAY","QLD","4508","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
"17 Sept 2023 5:04:16 am GMT+9","11500469613","Order","503-4156446-8823806","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","JORDAN SPRINGS","NSW","2747","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
"19 Sept 2023 10:06:03 pm GMT+9","11500469613","Debt","","","amzn1.cam.v1.sgid.11488240723","","","","","","","0","0","0","0","0","0","0","0","0","0.19","0.19"
"19 Sept 2023 11:52:26 pm GMT+9","11500469613","Order","250-0347375-2589400","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","SPRINGVALE","NSW","2650","15.25","7.99","0","-7.99","0","0","-2.20","-11.19","0","0","1.86"
"20 Sept 2023 1:15:46 am GMT+9","11500469613","Order","503-6659069-2412667","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","ROUSE HILL","NSW","2155","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
"20 Sept 2023 7:59:20 am GMT+9","11500469613","Order","503-0662499-5283835","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","2","amazon.com.au","Amazon","BURPENGARY","QLD","4505","30.50","3.99","0","0","0","0","-4.39","-26.36","0","0","3.74"
"20 Sept 2023 9:07:24 am GMT+9","11500469613","Refund","503-6659069-2412667","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","ROUSE HILL","NSW","2155","-15.25","0","0","0","0","0","1.76","0","0","0","-13.49"
"20 Sept 2023 4:27:16 pm GMT+9","11500469613","Order","503-3345674-3379031","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","TREGEAR","NSW","2770","15.25","0","0","0","0","0","-4.39","-11.19","0","0","-0.33"
"20 Sept 2023 4:27:16 pm GMT+9","11500469613","Order","503-3345674-3379031","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","TREGEAR","NSW","2770","15.25","0","0","0","0","0","0","-11.19","0","0","4.06"
"21 Sept 2023 8:16:00 am GMT+9","11500469613","Order","503-0462351-6272622","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","ALTONA MEADOWS","VIC","3028","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
"21 Sept 2023 3:04:06 pm GMT+9","11500469613","FBA Inventory Fee","","","FBA Long-Term Storage Fee","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-2.48","-2.48"
"23 Sept 2023 9:30:36 pm GMT+9","11511977213","Transfer","","","To account ending with: 734","","","","","","","0","0","0","0","0","0","0","0","0","-11.04","-11.04"
"28 Sept 2023 11:18:49 pm GMT+9","11511977213","Order","249-7539713-3919035","NS-2HRL-VHDL","555 PCS Water Balloons - Water Balloons Self Sealing - Water Balloons Bulk - Water Toys - Pool Games -Instant Water Balloons Biodegradable - Water Bal","1","amazon.com.au","Amazon","CHESTER HILL","NSW","2162","15.25","0","0","0","0","0","-2.20","-11.19","0","0","1.86"
