"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jun 1, 2024 12:09:58 a.m. PDT","20601042441","Order","701-3977712-9830669","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Windsor","Quebec","J1S 2E1","Combined TCS+MTC","63.95","9.58","0","0","0","0","0","0","0","0","-9.58","-9.59","-6.73","0","0","47.63"
"Jun 1, 2024 12:30:10 a.m. PDT","20601042441","Order","702-9195134-2297002","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Guelph","Ontario","N1G1G5","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 12:55:26 a.m. PDT","20601042441","Order","702-4667322-7180214","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Vaughan","Ontario","L4L 2M6","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 1:54:31 a.m. PDT","20601042441","Order","701-8453607-9429063","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","London","Ontario","N6E1T7","Combined TCS+MTC","62.95","8.18","5.90","0","0","0","0","0","-5.90","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 1:55:46 a.m. PDT","20601042441","Order","701-8631438-5219402","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","St Marys","Ontario","N4X 1B1","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 3:11:16 a.m. PDT","20601042441","Order","702-9375045-9829009","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Gatineau","QC","J8R2Z2","Combined TCS+MTC","62.95","9.43","0","0","0","0","0","0","0","0","-9.43","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 8:58:48 a.m. PDT","20601042441","Refund","702-5194948-9202602","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Mississauga","Ontario","L5B 1X3","Combined TCS+MTC","-63.95","-8.31","0","0","0","0","0","0","0","0","8.31","7.67","0","0","0","-56.28"
"Jun 1, 2024 1:56:30 p.m. PDT","20601042441","Order","701-1847360-5702659","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Mississauga","Ontario","L5L 6A1","Combined TCS+MTC","63.95","8.31","2.39","0","0","0","0","0","-2.39","0","-8.31","-9.59","-6.73","0","0","47.63"
"Jun 1, 2024 2:04:43 p.m. PDT","20601042441","Order","701-5377231-2145805","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Waterloo","Ontario","N2J 3W9","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 2:10:42 p.m. PDT","20601042441","Order","701-8417916-0466648","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Cobourg","Ontario","K9A4J8","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 2:41:48 p.m. PDT","20601042441","Order","702-1815713-4843469","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Kingston","Ontario","K7P 2X5","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 3:35:45 p.m. PDT","20601042441","Order","701-0116858-5876266","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Etobicoke","Ontario","M9W 4S1","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
"Jun 1, 2024 3:35:59 p.m. PDT","20601042441","Order","701-5317759-7278618","D0-QN6R-DWVH","4 Packs Solar Powered Nocturnal Animals Repeller - Deer Repeller - Skunk Repeller - Raccoon Repeller - Solar Predator Control Light Coyote Deterrent D","1","amazon.ca","Amazon","Toronto","Ontario","M9W 0C6","Combined TCS+MTC","62.95","8.18","0","0","0","0","0","0","0","0","-8.18","-9.44","-6.73","0","0","46.78"
