"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2023 9:12:18 a.m. PDT","17656299251","Refund","702-6049995-5479456","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Corbeil","Ontario","P0H 1K0","Combined TCS+MTC","-49.95","-6.49","0","0","0","0","0","0","0","0","6.49","5.99","0","0","0","-43.96"
"Apr 1, 2023 10:29:57 a.m. PDT","17656299251","Order","702-9535886-4097861","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Surrey","British Columbia","V4A 7R7","Combined TCS+MTC","49.95","5.99","0","0","0","0","0","0","0","0","-5.99","-7.49","-6.38","0","0","36.08"
"Apr 1, 2023 10:49:15 p.m. PDT","17656299251","Order","701-7554587-6691458","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Mississauga","Ontario","L5C 1B1","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-6.38","0","0","36.08"
"Apr 1, 2023 11:03:43 p.m. PDT","17656299251","Order","702-6172635-9225805","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Toronto","Ontario","M5P 2T9","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-6.38","0","0","36.08"
"Apr 2, 2023 12:50:06 a.m. PDT","17656299251","Order","702-1232740-3777016","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Cambridge","Ontario","N1T 2K2","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-6.38","0","0","36.08"
"Apr 2, 2023 5:35:56 a.m. PDT","17656299251","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-180.20","0","-180.20"
"Apr 2, 2023 10:44:01 a.m. PDT","17656299251","Order","701-6393831-7301811","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Prince George","British Columbia","V2L 3B5","Combined TCS+MTC","49.95","5.99","0","0","0","0","0","0","0","0","-5.99","-7.49","-6.38","0","0","36.08"
"Apr 2, 2023 10:44:15 a.m. PDT","17656299251","Order","702-4178115-6838662","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Sicamous","British Columbia","V0E 2V1","Combined TCS+MTC","49.95","5.99","0","0","0","0","0","0","0","0","-5.99","-7.49","-6.38","0","0","36.08"
"Apr 2, 2023 1:16:50 p.m. PDT","17656299251","Refund","701-7316442-8067465","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Waterloo","Ontario","N2V 2Y1","Combined TCS+MTC","-49.95","-6.49","0","0","0","0","0","0","0","0","6.49","5.99","0","0","0","-43.96"
"Apr 2, 2023 6:24:51 p.m. PDT","17656299251","Order","701-7375955-8600257","5V-H8SI-502P","Solar Predator Control Light Coyote Repellent Devices for Nighttime Animals Predator Lights Coyote Deterrent Deer Repeller with Bright LED Strobe Ligh","1","amazon.ca","Amazon","Oakville","Ontario","L6H 7S4","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-6.38","0","0","36.08"
