"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2023 2:17:50 p.m. PDT","17744241261","Order","702-1880608-0713025","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Maple Ridge","British Columbia","V2X 6L1","Combined TCS+MTC","49.95","5.99","6.99","0","0","0","0","0","-6.99","0","-5.99","-7.49","-6.33","0","0","36.13"
"Apr 1, 2023 6:55:53 p.m. PDT","17744241261","Order","702-1383374-9695457","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Richmond Hill","Ontario","L4B 4R8","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-5.92","0","0","36.54"
"Apr 1, 2023 8:24:39 p.m. PDT","17744241261","Order","702-2491522-5413042","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Spruce Grove","Alberta","T7X 0M1","Combined TCS+MTC","49.95","2.50","0","0","0","0","0","0","0","0","-2.50","-7.49","-5.92","0","0","36.54"
"Apr 1, 2023 8:25:44 p.m. PDT","17744241261","Order","702-9528720-8732247","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Spruce Grove","Alberta","T7X 0M1","Combined TCS+MTC","49.95","2.50","0","0","0","0","0","0","0","0","-2.50","-7.49","-5.92","0","0","36.54"
"Apr 2, 2023 1:37:35 a.m. PDT","17744241261","Order","702-8088552-9717827","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Otonabee","Ontario","K9J 6Y3","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-5.92","0","0","36.54"
"Apr 2, 2023 3:45:30 a.m. PDT","17744241261","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-36.97","-36.97"
"Apr 2, 2023 6:03:31 a.m. PDT","17744241261","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-397.18","0","-397.18"
"Apr 2, 2023 9:08:08 a.m. PDT","17744241261","Order","701-8763373-8943432","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","2","amazon.ca","Amazon","Scotchtown","NB","E4B 0B5","Combined TCS+MTC","99.90","14.98","0","0","0","0","0","0","0","0","-22.47","-22.47","-11.84","0","0","58.10"
"Apr 2, 2023 9:08:08 a.m. PDT","17744241261","Order","701-8763373-8943432","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Scotchtown","NB","E4B 0B5","","49.95","7.49","0","0","0","0","0","0","0","0","0","0","-5.92","0","0","51.52"
"Apr 2, 2023 10:17:01 a.m. PDT","17744241261","Order","702-5420161-4013009","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Athens","Ontario","K0E1B0","Combined TCS+MTC","49.95","6.49","0","0","0","0","0","0","0","0","-6.49","-7.49","-5.92","0","0","36.54"
"Apr 2, 2023 10:43:45 a.m. PDT","17744241261","Order","702-4913310-7855456","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Calgary","Alberta","T2G 1Y7","Combined TCS+MTC","49.95","2.50","0","0","0","0","0","0","0","0","-2.50","-7.49","-5.92","0","0","36.54"
"Apr 2, 2023 1:59:15 p.m. PDT","17744241261","Order","701-8749910-6693824","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Deer Lake","Newfoundland","A8A 3J8","Combined TCS+MTC","49.95","7.49","5.90","0","0","0","0","0","-5.90","0","-7.49","-7.49","-5.92","0","0","36.54"
"Apr 2, 2023 2:57:44 p.m. PDT","17744241261","Order","701-4826741-0260206","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Qualicum","British Columbia","V9K2S3","Combined TCS+MTC","49.95","5.99","0","0","0","0","0","0","0","0","-5.99","-7.49","-6.33","0","0","36.13"
"Apr 2, 2023 4:20:03 p.m. PDT","17744241261","Order","701-3322550-8053807","EH-9NX8-QS4E","Air Purifier plug in, Negative Ion Generator Portable Air Purifiers, Filterless Mobile Ionizer Air Cleaning, Deodorizer for Home, Office, Allergies, P","1","amazon.ca","Amazon","Medicine Hat","Alberta","T1C 1A3","Combined TCS+MTC","49.95","2.50","0","0","0","0","0","0","0","0","-2.50","-7.49","-5.92","0","0","36.54"
