"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2023 1:23:57 a.m. PDT","17687316581","Order","701-8574996-1767439","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Etobicoke","Ontario","M9V 2G4","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 1:31:03 a.m. PDT","17687316581","Order","701-9942216-3573845","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Mississauga","Ontario","L4Y 3Z2","Combined TCS+MTC","55.95","7.27","6.99","0","0","0","0","0","-6.99","0","-7.27","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 3:37:01 a.m. PDT","17687316581","Refund","702-6073495-3409854","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Salmon Arm","British Columbia","V1E 2X5","Combined TCS+MTC","-55.95","-6.71","0","0","0","0","0","0","0","0","6.71","6.71","0","0","0","-49.24"
"Apr 1, 2023 8:03:31 a.m. PDT","17687316581","Order","702-0192281-5624219","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Port Coquitlam","British Columbia","V3B 1J5","Combined TCS+MTC","55.95","6.71","3.93","0","0","0","0","0","-3.93","0","-6.71","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 10:30:03 a.m. PDT","17687316581","Order","702-5058472-7680200","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","surrey","bc","V4A 1G1","Combined TCS+MTC","55.95","6.71","0","0","0","0","0","0","0","0","-6.71","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 10:30:15 a.m. PDT","17687316581","Order","701-0559941-2646618","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Surrey","British Columbia","V3S 1N6","Combined TCS+MTC","55.95","6.71","0","0","0","0","0","0","0","0","-6.71","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 12:56:10 p.m. PDT","17687316581","Order","701-4218609-7801826","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Guelph","Ontario","N1E 4E7","Combined TCS+MTC","55.95","7.27","7.11","0.92","0","0","0","0","0","0","-8.19","-8.39","-13.49","0","0","41.18"
"Apr 1, 2023 12:59:46 p.m. PDT","17687316581","Order","702-9198920-3809029","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Verner","Ontario","P0H 2M0","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 1:51:43 p.m. PDT","17687316581","Order","702-4692238-9946662","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Brownsburg-Chatham","Quebec","J8G 1M7","Combined TCS+MTC","55.95","8.38","0","0","0","0","0","0","0","0","-8.38","-8.39","-6.38","0","0","41.18"
"Apr 1, 2023 6:14:39 p.m. PDT","17687316581","Order","702-6479128-4383449","AW-KXFI-FFZM","Upgrade Pest Repeller, Plug-in Pest Repellent, 6-Pack, Pest Control, Indoor Use, Anti Mice, Mosquitos, Insects, Bugs, Ants, Spiders, Rodents, Rats","1","amazon.ca","Amazon","Waterloo","Ontario","N2L 2V3","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-6.38","0","0","41.18"
