"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 8, 2023 7:29:04 a.m. PDT","17739782581","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-5.66","-5.66"
"Apr 10, 2023 7:58:56 p.m. PDT","17739782581","Transfer","","","To account ending with: 635","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-35.93","-35.93"
"Apr 18, 2023 8:54:48 a.m. PDT","17739782581","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-19.23","-19.23"
"Apr 20, 2023 6:23:02 p.m. PDT","17739782581","Order","701-0432835-0388251","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","1","amazon.ca","Amazon","Ottawa","Ontario","K1L 6R4","Combined TCS+MTC","32.45","4.22","0","0","0","0","0","0","0","0","-4.22","-4.87","-9.14","0","0","18.44"
"Apr 20, 2023 6:59:07 p.m. PDT","17739782581","Order","702-7517751-3701043","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","1","amazon.ca","Amazon","Kitchener","Ontario","N2M 4J1","Combined TCS+MTC","32.45","4.22","0","0","0","0","0","0","0","0","-4.22","-4.87","-9.14","0","0","18.44"
"Apr 23, 2023 10:23:24 a.m. PDT","17819367101","Order","701-9480535-3608250","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","1","amazon.ca","Amazon","Estevan","SK","S4A 0B3","Combined TCS+MTC","32.45","3.57","0","0","0","0","0","0","0","0","-3.57","-4.87","-9.14","0","0","18.44"
"Apr 23, 2023 11:57:27 a.m. PDT","17819367101","Order","701-9407110-4204230","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","3","amazon.ca","Amazon","Saint-Amable","Quebec","J0L 1N0","Combined TCS+MTC","97.35","14.58","0","0","0","0","0","0","0","0","-19.44","-19.48","-27.41","0","0","45.60"
"Apr 23, 2023 11:57:27 a.m. PDT","17819367101","Order","701-9407110-4204230","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","1","amazon.ca","Amazon","Saint-Amable","Quebec","J0L 1N0","","32.45","4.86","0","0","0","0","0","0","0","0","0","0","-9.14","0","0","28.17"
"Apr 24, 2023 7:19:45 a.m. PDT","17819367101","Order","701-8360241-3178640","I8-19UY-EZMJ","555 PCS Water Balloons - Self Filling Water Balloons - Balloon Fight- Water Balloons Games - Water Balloon Easy Fill- Water Fun for Kids - Games Ideal","1","amazon.ca","Amazon","Verner","Ontario","P0H 2M0","Combined TCS+MTC","32.45","4.22","0","0","0","0","0","0","0","0","-4.22","-4.87","-9.14","0","0","18.44"
"Apr 24, 2023 7:41:57 p.m. PDT","17819367101","FBA Inventory Fee","","","FBA Amazon-Partnered Carrier Shipment Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-50.80","-50.80"
