"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.18323923922","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.17878146602","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.17387192302","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.17709546742","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.18488915832","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,26","0,26"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.18904495422","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,60","0,60"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.17550536862","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.18655176912","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,14","0,14"
"05.01.2023 09:53:10 UTC","18987651472","Verbindlichkeit","","","amzn1.cam.v1.sgid.18062928912","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,10","0,10"
"07.01.2023 04:28:49 UTC","18987651472","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Lagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,14","-0,14"
"22.01.2023 10:30:48 UTC","19075785052","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Langzeitlagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,60","-0,60"
