"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore",,,,,,,,,,,,,,,,,,,,,,,,,,
"Tous les montants sont en EUR, sauf mention contraire.",,,,,,,,,,,,,,,,,,,,,,,,,,
Définitions :,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage.",,,,,,,,,,,,,,,,,,,,,,,,,,
Frais de vente : Incluent des frais de clôture variable et des frais de référence.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition",,,,,,,,,,,,,,,,,,,,,,,,,,
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande.",,,,,,,,,,,,,,,,,,,,,,,,,,
date/heure,numéro de versement,type,numéro de la commande,sku,description,quantité,Marketplace,traitement,ville d'où provient la commande,Région d'où provient la commande,code postal de la commande,Modèle de perception des taxes,ventes de produits,Taxes sur la vente des produits,crédits d'expédition,taxe sur les crédits d’expédition,crédits sur l'emballage cadeau,Taxes sur les crédits cadeaux,Rabais promotionnels,Taxes sur les remises promotionnelles,Taxes retenues sur le site de vente,frais de vente,Frais Expédié par Amazon,autres frais de transaction,autre,total
1 juin 2024 14:16:05 UTC,21373662212,Frais de service,,,Prix de la publicité,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,"-5,49","-1,10","-6,59"
1 juin 2024 20:55:01 UTC,21373662212,Commande,402-4466396-7940343,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,replonges,ain,1750,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
2 juin 2024 23:13:39 UTC,21373662212,Commande,402-1769821-1466756,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,Mecleuves,,57245,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
3 juin 2024 11:18:19 UTC,21373662212,Commande,404-6736724-4980344,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,Archamps,,74160,MarketplaceFacilitator,"16,62","3,33","0,83","0,17",0,0,"-0,83","-0,17","-3,33","-3,70","-2,90",0,0,"10,02"
4 juin 2024 13:46:15 UTC,21373662212,Commande,402-6325808-5543563,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,Claix,,38640,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
4 juin 2024 14:27:21 UTC,21373662212,Commande,406-8239600-7990700,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,MAS GRENIER,,82600,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
4 juin 2024 14:43:36 UTC,21373662212,Commande,403-3506189-9649101,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,2,amazon.fr,Amazon,FONTOY,,57650,MarketplaceFacilitator,"33,24","6,66",0,0,0,0,0,0,"-6,66","-7,39","-5,80",0,0,"20,05"
4 juin 2024 16:34:47 UTC,21373662212,Commande,408-9753885-2724358,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,St Etienne Du Rouvray,,76800,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
5 juin 2024 02:56:54 UTC,21373662212,Commande,405-6692168-5711516,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,2,amazon.fr,Amazon,Isola,,6420,MarketplaceFacilitator,"33,24","6,66",0,0,0,0,0,0,"-6,66","-7,39","-5,80",0,0,"20,05"
5 juin 2024 03:01:48 UTC,21373662212,Commande,405-0008730-7549163,WR-BJDE-04N4,Répulsif à ultrasons Contre Les puces et Les tiques pour Animaux de Compagnie - Répulsif Contre Les moustiques - Répulsif Contre Les parasites à,1,amazon.fr,Amazon,Ormoy,,91540,MarketplaceFacilitator,"16,62","3,33",0,0,0,0,0,0,"-3,33","-3,70","-2,90",0,0,"10,02"
