"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"17 juil. 2024 11:50:56 UTC","22259418102","Frais de stock Expédié par Amazon","","","Frais de transport entrant ","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-33,14","-33,14"
"17 juil. 2024 11:50:56 UTC","22259418102","Frais de stock Expédié par Amazon","","","Frais du service de transport entrant","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,20","-0,20"
"21 juil. 2024 20:41:48 UTC","22259418102","Commande","404-3494363-6646768","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Fos-sur-Mer","","13270","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"21 juil. 2024 22:22:34 UTC","22259418102","Commande","402-2921865-8653151","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","st raphael","","83700","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 00:32:06 UTC","22259418102","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,74","-0,35","-2,09"
"22 juil. 2024 02:28:35 UTC","22259418102","Commande","404-6489419-7115554","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Paris","","75009","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 04:49:06 UTC","22259418102","Commande","407-0147038-0510733","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Brest","","29200","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 04:49:09 UTC","22259418102","Commande","403-4655534-1849910","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Aussonne","","31840","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 04:49:16 UTC","22259418102","Commande","405-4638688-4420308","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Villiers Sur Marne","","94350","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 08:03:06 UTC","22259418102","Commande","402-3870411-3220353","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","2","amazon.fr","Amazon","Sint Ulrik Kapelle Dilbeek","","1700","MarketplaceFacilitator","66,58","13,98","0","0","0","0","0","0","-13,98","-14,81","-10,36","0","0","41,41"
"22 juil. 2024 08:03:45 UTC","22259418102","Commande","404-3962613-8728336","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Etain","","55400","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 10:45:19 UTC","22259418102","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-54,75","-10,95","-65,70"
"22 juil. 2024 11:12:19 UTC","22259418102","Commande","406-4395660-1171506","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","montrol senard","","87330","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 11:12:23 UTC","22259418102","Commande","402-5376770-3671541","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Le Mans","","72000","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 11:13:12 UTC","22259418102","Commande","407-3781282-2801904","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Tilly","","1495","","39,95","0","0","0","0","0","0","0","0","-7,40","-5,18","0","0","27,37"
"22 juil. 2024 14:03:11 UTC","22259418102","Commande","171-8534421-9921908","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Montfleur","","39320","MarketplaceFacilitator","33,29","6,66","3,32","0,67","0","0","-3,32","-0,67","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 14:26:44 UTC","22259418102","Commande","403-9695697-3440327","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Gattieres","","06510","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 14:27:14 UTC","22259418102","Commande","406-6986181-5437929","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","toulouse","","31500","MarketplaceFacilitator","33,29","6,66","5,82","1,17","0","0","0","0","-7,83","-7,40","-11,00","0","0","20,71"
"22 juil. 2024 14:27:58 UTC","22259418102","Commande","402-1426331-9837940","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Lusignac","","24320","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
"22 juil. 2024 14:28:08 UTC","22259418102","Commande","402-6191413-7046737","C5-VVS6-21NQ","KEXMY Répulsif Ultrasons Anti Rongeur,Ultrason Souris Et Rats,Loirs - Alternative Efficace aux Pièges à Souris ou au Raticide,Repulsif Moustique (6","1","amazon.fr","Amazon","Zehnacker","","67310","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-7,40","-5,18","0","0","20,71"
