"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"6 juin 2024 01:31:35 UTC","22186954932","Commande","404-1832702-3137153","3M-PTQI-FR99","Collier Anti-Puces Et Anti-Tiques pour Chien 25 Pouces - Collier Anti Puces Chien - Anti Puce Collier Chien d'une Durée De 12 Mois avec Huiles Essent","1","amazon.fr","Amazon","GIGNAC","FRANCE","34150","MarketplaceFacilitator","21,62","4,33","0","0","0","0","0","0","-4,33","-4,01","-4,45","0","0","13,16"
"9 juin 2024 10:22:32 UTC","22270340232","Frais de stock Expédié par Amazon","","","Frais de stockage Expédié par Amazon","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-10,96","-10,96"
"11 juin 2024 00:14:58 UTC","22270340232","Commande","171-0503059-3448326","3M-PTQI-FR99","Collier Anti-Puces Et Anti-Tiques pour Chien 25 Pouces - Collier Anti Puces Chien - Anti Puce Collier Chien d'une Durée De 12 Mois avec Huiles Essent","2","amazon.fr","Amazon","Beuzevillette","","76210","MarketplaceFacilitator","43,24","8,66","0","0","0","0","0","0","-8,66","-8,02","-8,90","0","0","26,32"
"22 juin 2024 08:16:54 UTC","22454154162","Solde négatif","","","amzn1.cam.v1.sgid.22168258282","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","31,23","31,23"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","1","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","MarketplaceFacilitator","6,00","1,20","0","0","0","0","-3,00","-0,60","-20,40","-19,04","-4,57","0","0","-40,41"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","2","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","","12,00","2,40","0","0","0","0","-6,00","-1,20","0","0","-9,14","0","0","-1,94"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","10","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","","60,00","12,00","0","0","0","0","-30,00","-6,00","0","0","-45,70","0","0","-9,70"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","4","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","","24,00","4,80","0","0","0","0","-12,00","-2,40","0","0","-18,28","0","0","-3,88"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","1","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","","6,00","1,20","0","0","0","0","-3,00","-0,60","0","0","-4,57","0","0","-0,97"
"24 juin 2024 15:34:36 UTC","22454154162","Commande","404-8832788-1730741","63-NPQ9-MR4K","KEXMY 6 Paquets Repulsif Moustique - Répulsif Ultrason Anti Moustique - Repulsif Moustique - Répulsif Souris - Répulsif Ultrason Souris pour Mousti","2","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","","12,00","2,40","0","0","0","0","-6,00","-1,20","0","0","-9,14","0","0","-1,94"
