"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"2 juin 2024 03:52:12 UTC","22270353492","Commande","405-0463684-6312361","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","Marseille","France","13004","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 juin 2024 06:33:58 UTC","22270353492","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-198,30","0","-198,30"
"2 juin 2024 18:56:13 UTC","22270353492","Remboursement","402-2719989-7823565","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","Nomain","France","59310","MarketplaceFacilitator","-33,29","-6,66","0","0","0","0","0","0","6,66","4,94","0","0","0","-28,35"
"3 juin 2024 18:15:05 UTC","22270353492","Remboursement","406-8014051-4830746","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","NAVARRENX","","64190","MarketplaceFacilitator","-33,29","-6,66","0","0","0","0","0","0","6,66","4,94","0","0","0","-28,35"
"4 juin 2024 11:11:06 UTC","22270353492","Commande","407-0944501-1029935","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","Bournand","","86120","MarketplaceFacilitator","21,62","4,33","0","0","0","0","0","0","-4,33","-4,01","-4,45","0","0","13,16"
"5 juin 2024 13:20:46 UTC","22270353492","Commande","171-1544814-6278761","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","burie","","17770","MarketplaceFacilitator","21,62","4,33","3,32","0,67","0","0","0","0","-5,00","-4,01","-7,77","0","0","13,16"
"6 juin 2024 03:24:42 UTC","22270353492","Commande","408-2493313-4937106","BL-ISFZ-MUYC","RUNADI Répulsif Souris Ultrason 6 Paquets Anti Rongeur - pour Rats, Loirs, Moustique","1","amazon.fr","Vendeur","Auriol","","13390","MarketplaceFacilitator","38,29","7,66","0","0","0","0","0","0","-7,66","-7,10","0","0","0","31,19"
"6 juin 2024 06:07:16 UTC","22270353492","Remboursement","408-2493313-4937106","BL-ISFZ-MUYC","RUNADI Répulsif Souris Ultrason 6 Paquets Anti Rongeur - pour Rats, Loirs, Moustique","1","amazon.fr","Vendeur","Auriol","","13390","MarketplaceFacilitator","-38,29","-7,66","0","0","0","0","0","0","7,66","5,68","0","0","0","-32,61"
"7 juin 2024 21:25:06 UTC","22363910982","Commande","171-8015478-7391552","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","veranne","","42520","MarketplaceFacilitator","24,96","4,99","3,32","0,67","0","0","0","0","-5,66","-4,63","-8,50","0","0","15,15"
"9 juin 2024 08:01:38 UTC","22363910982","Frais de stock Expédié par Amazon","","","Frais de stockage Expédié par Amazon","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5,74","-5,74"
"12 juin 2024 17:00:25 UTC","22363910982","Commande","405-8136960-7324322","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","Bouvaincourt Sur Bresle","","80220","MarketplaceFacilitator","10,79","2,16","0","0","0","0","0","0","-2,16","-2,00","-4,45","0","0","4,34"
"14 juin 2024 22:08:25 UTC","22363910982","Commande","402-5894372-6649936","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","MAGNY","","28120","MarketplaceFacilitator","6,62","1,33","0","0","0","0","0","0","-1,33","-1,23","-4,57","0","0","0,82"
"15 juin 2024 21:17:51 UTC","22363910982","Commande","405-5060116-2535535","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","Sainte-Pazanne","","44680","MarketplaceFacilitator","10,79","2,16","0","0","0","0","0","0","-2,16","-2,00","-4,45","0","0","4,34"
"16 juin 2024 22:16:32 UTC","22363910982","Commande","405-1494194-6792313","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","Sainte-Pazanne","","44680","MarketplaceFacilitator","10,79","2,16","0","0","0","0","0","0","-2,16","-2,00","-4,45","0","0","4,34"
"17 juin 2024 02:54:42 UTC","22363910982","Commande","171-0810181-7981947","NI-49DK-3BBK","Collier Anti Puces pour Chien - Collier Anti Puces pour Chien - Collier Anti Puces Chien - Collier Anti Puce pour Chien - Collier Anti Puce 25 Pouces","1","amazon.fr","Amazon","Nurlu","","80240","MarketplaceFacilitator","10,79","2,16","0","0","0","0","0","0","-2,16","-2,00","-4,45","0","0","4,34"
"17 juin 2024 12:06:24 UTC","22363910982","Commande","403-7609737-1293917","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","montans","","81600","MarketplaceFacilitator","6,62","1,33","3,32","0,67","0","0","0","0","-2,00","-1,23","-7,89","0","0","0,82"
"17 juin 2024 13:45:30 UTC","22363910982","Commande","407-4301571-3601942","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","Aix En Provence","","13100","MarketplaceFacilitator","6,62","1,33","0","0","0","0","0","0","-1,33","-1,23","-4,57","0","0","0,82"
"18 juin 2024 06:08:06 UTC","22363910982","Commande","407-9719594-8697104","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","Saint just","","34400","MarketplaceFacilitator","6,62","1,33","0","0","0","0","0","0","-1,33","-1,23","-4,57","0","0","0,82"
"18 juin 2024 13:36:59 UTC","22363910982","Commande","406-9104568-2826731","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","St Germain au mont d'or","","69650","MarketplaceFacilitator","6,62","1,33","0","0","0","0","0","0","-1,33","-1,23","-4,57","0","0","0,82"
"18 juin 2024 15:05:04 UTC","22363910982","Commande","402-1289874-0947534","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","1","amazon.fr","Amazon","Corme Royal","","17600","MarketplaceFacilitator","6,62","1,33","0","0","0","0","0","0","-1,33","-1,23","-4,57","0","0","0,82"
"18 juin 2024 19:50:29 UTC","22363910982","Commande","404-2963091-8000362","RI-CFPK-K9T2","Lot de 6 répulsifs à ultrasons pour écureuils, Souris, Rat, araignée, Mites, Chauves-Souris, Crickets, rongeurs, Insectes - Repulsif Fourmis - Ré","2","amazon.fr","Amazon","Le Kremlin Bicetre","","94270","MarketplaceFacilitator","13,24","2,66","0","0","0","0","-6,62","-1,33","-17,29","-15,86","-9,14","0","0","-34,34"
