"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 2, 2024 7:53:41 PM PDT","20358002831","Order","112-2948390-0637841","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","OAK RIDGE","TN","37830-3800","MarketplaceFacilitator","10.95","0","0","0","0","0","0","0","0","0","0","-1.64","-4.55","0","0","4.76"
"May 5, 2024 5:08:06 AM PDT","20358002831","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-25.84","-25.84"
"May 6, 2024 9:19:04 PM PDT","20358002831","Order","112-0314440-2542659","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","SAINT JOHNS","FL","32259-2208","MarketplaceFacilitator","10.95","0","0","0","0","0","0","0","0","0","0","-1.64","-4.55","0","0","4.76"
"May 9, 2024 10:08:05 AM PDT","20358002831","Order","113-0606281-6897836","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","HARLINGEN","TX","78552-2767","MarketplaceFacilitator","10.95","0","0","0","0","0","0","0","0","0","0","-1.64","-4.55","0","0","4.76"
"May 9, 2024 8:06:35 PM PDT","20358002831","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2.61","-2.61"
"May 13, 2024 10:39:45 AM PDT","20473901681","Order","114-6040153-2109026","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","LAKE ELSINORE","CA","92530-6547","MarketplaceFacilitator","10.95","0.85","1.89","0","0","0","0","0","-1.89","0","-0.85","-1.64","-4.55","0","0","4.76"
"May 13, 2024 10:40:58 PM PDT","20473901681","Transfer","","","To your account ending in: 899, Bank Transfer ID: 108P38Z0000EGD, 108P38Z0000EGD","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-9.57","-9.57"
"May 19, 2024 12:14:04 PM PDT","20473901681","Order","111-6395546-9279418","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","DALLAS","TX","75231-4354","MarketplaceFacilitator","10.95","0.90","0","0","0","0","0","0","0","0","-0.90","-1.64","-4.55","0","0","4.76"
"May 19, 2024 8:33:42 PM PDT","20473901681","Order","114-7199118-3422637","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","Washington","MO","63090","MarketplaceFacilitator","10.95","0.68","0","0","0","0","0","0","0","0","-0.68","-1.64","-4.55","0","0","4.76"
"May 20, 2024 9:42:19 AM PDT","20473901681","Order","113-7129868-9173027","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","LISBON","OH","44432-9566","MarketplaceFacilitator","10.95","0","0","0","0","0","0","0","0","0","0","-1.64","-4.55","0","0","4.76"
"May 21, 2024 10:44:35 AM PDT","20473901681","Order","112-9353426-9301053","PZ-DXX9-YBCG","BOTARO Barbecue Grill Light - 10 Super Bright LED Lights - Support 360° Rotation for BBQ Screw Clamp Outdoor - Durable, Water & Heat-Resistant with S","1","amazon.com","Standard Orders","Amazon","WARREN","VT","05674-9579","MarketplaceFacilitator","10.95","0.66","0","0","0","0","0","0","0","0","-0.66","-1.64","-4.55","0","0","4.76"
"May 22, 2024 4:44:46 AM PDT","20473901681","FBA Inventory Fee","","","FBA Long-Term Storage Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.47","-18.47"
