"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 mai 2024 08:15:12 UTC","22158590682","Ajustement","403-4785591-3369131","8J-6V4K-3ELQ","Remboursement Stock Expédié par Amazon - Retour Client ","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","32,25","32,25"
"2 mai 2024 05:26:19 UTC","22158590682","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-203,02","0","-203,02"
"2 mai 2024 10:53:38 UTC","22193394802","Commande","408-1455189-3853166","2G-9GTP-PKUU","RUNADI Repulsif Moustique - Répulsif Ultrason Souris 6 Paquets Anti Souris, Rats, araignées, cafards, Mouches, puces, ravageurs - Ultrason Souris -","1","amazon.fr","Amazon","Venerque","","31810","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 mai 2024 10:54:07 UTC","22193394802","Commande","402-5531803-3350768","2G-9GTP-PKUU","RUNADI Repulsif Moustique - Répulsif Ultrason Souris 6 Paquets Anti Souris, Rats, araignées, cafards, Mouches, puces, ravageurs - Ultrason Souris -","1","amazon.fr","Amazon","Quimper","","29000","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 mai 2024 11:46:06 UTC","22193394802","Commande","407-6276619-0500303","M9-LX14-0TJH","Lot de 6 Antiparasitaires Intérieur - Répulsif Ultrason - Répulsif à ultrasons pour Souris - Lutte antiparasitaire Efficace pour Les rongeurs, Les","1","amazon.fr","Amazon","Vichy","","03200","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 mai 2024 14:10:57 UTC","22193394802","Commande","407-8270653-0564320","2G-9GTP-PKUU","RUNADI Repulsif Moustique - Répulsif Ultrason Souris 6 Paquets Anti Souris, Rats, araignées, cafards, Mouches, puces, ravageurs - Ultrason Souris -","1","amazon.fr","Amazon","Creteil","","94000","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 mai 2024 16:32:15 UTC","22193394802","Commande","405-1071666-7074727","M9-LX14-0TJH","Lot de 6 Antiparasitaires Intérieur - Répulsif Ultrason - Répulsif à ultrasons pour Souris - Lutte antiparasitaire Efficace pour Les rongeurs, Les","1","amazon.fr","Amazon","Germigny L'exempt","","18150","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"2 mai 2024 17:33:52 UTC","22193394802","Commande","404-6819025-9735525","2G-9GTP-PKUU","RUNADI Repulsif Moustique - Répulsif Ultrason Souris 6 Paquets Anti Souris, Rats, araignées, cafards, Mouches, puces, ravageurs - Ultrason Souris -","1","amazon.fr","Amazon","Marseille","","13011","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"3 mai 2024 01:37:25 UTC","22193394802","Commande","407-8240954-5697161","2G-9GTP-PKUU","RUNADI Repulsif Moustique - Répulsif Ultrason Souris 6 Paquets Anti Souris, Rats, araignées, cafards, Mouches, puces, ravageurs - Ultrason Souris -","1","amazon.fr","Amazon","Le Bois Robert","","76590","MarketplaceFacilitator","33,29","6,66","0","0","0","0","0","0","-6,66","-6,17","-5,18","0","0","21,94"
"3 mai 2024 11:52:10 UTC","22193394802","Frais de stock Expédié par Amazon","","","Frais de transport entrant ","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5,00","-5,00"
