"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 1, 2024 12:15:01 AM PDT","20443070481","Order","113-8030039-0587425","ZI-Q3C5-CCT3","25 Black Zucchini Seeds for Gardening - Non GMO Heirloom Garden Plants, Seeds & Bulbs - Plant Seeds Zucchini Organic Fresh - Organic Zucchini Fresh Se","1","amazon.com","Standard Orders","Amazon","FRANKLIN","TN","37067-1001","MarketplaceFacilitator","7.95","0.78","0","0","0","0","0","0","0","0","-0.78","-1.19","-2.29","0","0","4.47"
"May 1, 2024 12:21:46 AM PDT","20443070481","Order","113-9535454-0675443","RX-DJCO-J14R","25 Red Velvet Queen Sunflower Seeds - Sunflower Seeds for Planting - Garden Plant - Sunflower Seeds - Garden Seed Sunflower Gifts - Non GMO Heirloom S","1","amazon.com","Standard Orders","Amazon","Dousman","Wisconsin","53118","MarketplaceFacilitator","8.95","0.45","0","0","0","0","0","0","0","0","-0.45","-1.34","-2.29","0","0","5.32"
"May 1, 2024 12:30:58 AM PDT","20443070481","Order","111-7727410-0429828","UA-KOVX-26KG","50 California Giant Zinnia Seeds Mix- Non GMO Heirloom Giant Zinnia Seeds for Planting Outdoors - Garden Plant - Mix Zinnia Seeds - Zinnia Seeds for P","4","amazon.com","Standard Orders","Amazon","NASHVILLE","TN","37204-4318","MarketplaceFacilitator","35.80","3.32","0","0","0","0","0","0","0","0","-3.32","-5.36","-9.16","0","0","21.28"
"May 1, 2024 12:52:11 AM PDT","20443070481","Order","112-5952367-0065805","ZI-Q3C5-CCT3","25 Black Zucchini Seeds for Gardening - Non GMO Heirloom Garden Plants, Seeds & Bulbs - Plant Seeds Zucchini Organic Fresh - Organic Zucchini Fresh Se","1","amazon.com","Standard Orders","Amazon","STATEN ISLAND","NY","10310-2333","MarketplaceFacilitator","7.95","0.71","0","0","0","0","0","0","0","0","-0.71","-1.19","-2.29","0","0","4.47"
"May 1, 2024 1:25:20 AM PDT","20443070481","Order","113-8081999-3453035","JE-KQJH-GV5L","25 Teddy Bear Sunflower Seeds - Sunflower Seeds for Planting - Garden Plant - Sunflower Seeds - Garden Seed Sunflower Gifts - Non GMO Heirloom Sun Flo","1","amazon.com","Standard Orders","Amazon","Titusville","PA","16354","MarketplaceFacilitator","9.95","0.60","0","0","0","0","0","0","0","0","-0.60","-1.49","-2.29","0","0","6.17"
"May 1, 2024 2:20:59 AM PDT","20443070481","Order","113-3716286-4241051","ZC-A33U-YCNC","5000 Wildflower Seeds (23 Varieties) - Non-GMO Heirloom Wildflower Seeds Perennial Bulk - Garden Plant - Wild Flower Seeds - Garden Wildflower Seed Mi","1","amazon.com","Standard Orders","Amazon","MOUNT PLEASANT","WI","53405-4306","MarketplaceFacilitator","14.95","0.75","6.99","0.35","0","0","0","0","0","0","-1.10","-2.24","-10.05","0","0","9.65"
"May 1, 2024 5:55:41 AM PDT","20443070481","Order","111-0920228-2177862","UA-KOVX-26KG","50 California Giant Zinnia Seeds Mix- Non GMO Heirloom Giant Zinnia Seeds for Planting Outdoors - Garden Plant - Mix Zinnia Seeds - Zinnia Seeds for P","1","amazon.com","Standard Orders","Amazon","FREDERICKSBURG","VA","22407-2035","MarketplaceFacilitator","8.95","0.47","0","0","0","0","0","0","0","0","-0.47","-1.34","-2.29","0","0","5.32"
"May 1, 2024 8:56:14 AM PDT","20443070481","Order","113-1316120-2551445","JE-KQJH-GV5L","25 Teddy Bear Sunflower Seeds - Sunflower Seeds for Planting - Garden Plant - Sunflower Seeds - Garden Seed Sunflower Gifts - Non GMO Heirloom Sun Flo","1","amazon.com","Standard Orders","Amazon","SLIPPERY ROCK","PA","16057-5113","MarketplaceFacilitator","9.95","0.60","0.03","0","0","0","0","0","-0.03","0","-0.60","-1.49","-2.29","0","0","6.17"
"May 1, 2024 11:12:56 AM PDT","20443070481","Order","113-9574376-4624213","JE-KQJH-GV5L","25 Teddy Bear Sunflower Seeds - Sunflower Seeds for Planting - Garden Plant - Sunflower Seeds - Garden Seed Sunflower Gifts - Non GMO Heirloom Sun Flo","1","amazon.com","Standard Orders","Amazon","ROBBINS","TN","37852-4336","MarketplaceFacilitator","9.95","0.92","0","0","0","0","0","0","0","0","-0.92","0","-2.29","0","0","7.66"
"May 1, 2024 1:38:41 PM PDT","20443070481","Order","112-2849951-6584232","JE-KQJH-GV5L","25 Teddy Bear Sunflower Seeds - Sunflower Seeds for Planting - Garden Plant - Sunflower Seeds - Garden Seed Sunflower Gifts - Non GMO Heirloom Sun Flo","1","amazon.com","Standard Orders","Amazon","RAINELLE","WV","25962-1247","MarketplaceFacilitator","9.95","0.60","0","0","0","0","0","0","0","0","-0.60","0","-2.29","0","0","7.66"
