"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.18750257902","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,88","0,88"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19088146922","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,13","1,13"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19169405752","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,89","0,89"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19427793462","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,84","0,84"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.18917069722","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0,93","0,93"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.18667628372","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,32","1,32"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19001107492","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,24","1,24"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19514659092","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,22","1,22"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.19253807992","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,22","1,22"
"03.04.2023 06:23:09 UTC","19600035582","Verbindlichkeit","","","amzn1.cam.v1.sgid.18830951192","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","1,24","1,24"
"07.04.2023 02:10:15 UTC","19600035582","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Lagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0,85","-0,85"
"21.04.2023 09:05:09 UTC","19685156212","Versand durch Amazon Lagergebühr","","","Versand durch Amazon Langzeitlagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-1,22","-1,22"
