"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 mai 2024 08:05:45 UTC","22064180512","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-526,22","0","-526,22"
"2 mai 2024 04:10:14 UTC","22064180512","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-85,34","0","-85,34"
"2 mai 2024 10:29:01 UTC","22064180512","Commande","408-0256862-0096363","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","CAUPENNE D'ARMAGNAC","","32110","MarketplaceFacilitator","26,62","5,33","3,32","0,67","0","0","0","0","-6,00","-4,94","-8,50","0","0","16,50"
"2 mai 2024 15:18:04 UTC","22064180512","Commande","404-0935456-9281104","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Saint Georges de reneins","","69830","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"2 mai 2024 16:23:17 UTC","22064180512","Commande","408-1100362-2861902","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Asse Le Berenger","","53600","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"2 mai 2024 16:45:47 UTC","22064180512","Commande","408-1147166-9785957","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Retaud","","17460","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"2 mai 2024 17:47:48 UTC","22064180512","Commande","404-6291979-1063542","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","JONAGE","","69330","","31,95","0","0","0","0","0","0","0","0","-9,88","-5,18","0","0","16,89"
"2 mai 2024 17:47:48 UTC","22064180512","Commande","404-6291979-1063542","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","JONAGE","","69330","","31,95","0","0","0","0","0","0","0","0","0","-5,18","0","0","26,77"
"2 mai 2024 18:12:23 UTC","22064180512","Commande","404-0256574-9213909","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Ercuis","","60530","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"2 mai 2024 21:28:53 UTC","22064180512","Commande","405-4479959-1410723","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","St Leonard Des Bois","","72130","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"2 mai 2024 21:46:28 UTC","22064180512","Commande","402-9014342-9364345","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Truchtersheim","Behlenheim","67370","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
"3 mai 2024 00:50:42 UTC","22064180512","Commande","403-6734344-1085123","55-IKR5-MTZ7","RUNADI Lot de 2 répulsifs solaires pour Taupes - Repulsif Serpent - Répulsif Contre Les Insectes d'extérieur - Résistant aux intempéries pour Tau","1","amazon.fr","Amazon","Rehon","","54430","MarketplaceFacilitator","26,62","5,33","0","0","0","0","0","0","-5,33","-4,94","-5,18","0","0","16,50"
