"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 9, 2024 3:51:35 PM PDT","20232988981","Liquidations","9857371229551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 9, 2024 4:02:12 PM PDT","20232988981","Liquidations","9857371222551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 10, 2024 6:58:34 AM PDT","20232988981","FBA Inventory Fee","","","FBA Inventory Storage Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.08","-0.08"
"May 12, 2024 11:36:04 AM PDT","20232988981","Liquidations","9589179941551","X003SQ4YB5","WolVol Shooting Game Toy - Foam Ball Popper Air Guns 2 Splatter Gun with 24 Blast Poppers Target for 6 7 8 9 10+ Years Old Boys & Girls Compatible Nerf","1","","Standard Orders","","","","","","0.62","0","0","0","0","0","0","0","0","0","0","0","0","-0.69","0","-0.07"
"May 14, 2024 4:16:08 PM PDT","20232988981","Liquidations","9880846487551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 17, 2024 6:25:44 PM PDT","20232988981","Liquidations","9880846484551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 17, 2024 6:31:36 PM PDT","20232988981","Liquidations","9880846482551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 17, 2024 6:32:20 PM PDT","20232988981","Liquidations","9880846485551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 17, 2024 6:38:00 PM PDT","20232988981","Liquidations","9880846492551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","0.85","0","0","0","0","0","0","0","0","0","0","0","0","-0.45","0","0.40"
"May 19, 2024 2:04:47 PM PDT","20232988981","Liquidations","9878938872551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","1.41","0","0","0","0","0","0","0","0","0","0","0","0","-0.51","0","0.90"
"May 19, 2024 2:08:01 PM PDT","20232988981","Liquidations","9878938871551","X003ES371Z","GTSTEG White Knit Christmas Stockings (4 Packs) - Christmas Stockings for Home Decor - Christmas Stockings for Christmas Tree Decorations & Christmas Ornaments - Christmas Socks for Home Accessories","1","","Standard Orders","","","","","","1.41","0","0","0","0","0","0","0","0","0","0","0","0","-0.51","0","0.90"
"May 21, 2024 8:21:31 PM PDT","20351905351","Transfer","","","To your account ending in: 134, Bank Transfer ID: 108Y3XU00004GD, 108Y3XU00004GD","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-4.45","-4.45"
