"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2023 12:03:01 a.m. PDT","17696956651","Order","702-5569631-7981034","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","2","amazon.ca","Amazon","Mississauga","Ontario","L4W 4L7","Combined TCS+MTC","111.90","14.54","0","0","0","0","0","0","0","0","-14.54","-16.78","-11.84","0","0","83.28"
"Apr 1, 2023 12:05:00 a.m. PDT","17696956651","Order","701-8188419-9492241","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Mississauga","Ontario","L4Z 4K1","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-5.92","0","0","41.64"
"Apr 1, 2023 12:15:09 a.m. PDT","17696956651","Order","701-7646444-1933002","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Plattsville","Ontario","N0J 1S0","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-5.92","0","0","41.64"
"Apr 1, 2023 12:15:32 a.m. PDT","17696956651","Order","701-1124575-9665818","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Kitchener","ON","N2G 3L8","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-5.92","0","0","41.64"
"Apr 1, 2023 12:26:22 a.m. PDT","17696956651","Order","701-5719885-1488220","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Ottawa","Ontario","K1X0E1","Combined TCS+MTC","55.95","7.27","1.99","0.26","0","0","0","0","0","0","-7.53","-8.39","-7.91","0","0","41.64"
"Apr 1, 2023 2:02:01 a.m. PDT","17696956651","Order","702-5608243-5480251","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Markham","Ontario","L6B 0V9","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-5.92","0","0","41.64"
"Apr 1, 2023 3:17:47 a.m. PDT","17696956651","Order","702-7783724-0150653","RE-F59M-MPG8","Collar for Dogs 25 Inches, Dog Collar with Natural Essential Oils, 12-Month Lasting Dog Collars, Waterproof Collar for All Dog Breeds","1","amazon.ca","Amazon","Toronto","Ontario","M9A 1A9","Combined TCS+MTC","28.95","3.76","0","0","0","0","0","0","0","0","-3.76","-4.34","-6.33","0","0","18.28"
"Apr 1, 2023 3:18:30 a.m. PDT","17696956651","Order","701-5307776-9641011","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Saint-Gabriel-De-Brandon","Quebec","J0K 2N0","Combined TCS+MTC","55.95","8.38","0","0","0","0","0","0","0","0","-8.38","-8.39","-6.33","0","0","41.23"
"Apr 1, 2023 4:12:01 a.m. PDT","17696956651","Order","702-6096014-5612249","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","Surrey","British Columbia","V3R 0C1","Combined TCS+MTC","55.95","6.71","0","0","0","0","0","0","0","0","-6.71","-8.39","-5.92","0","0","41.64"
"Apr 1, 2023 4:57:34 a.m. PDT","17696956651","Order","701-8866832-7070652","3Y-GEVJ-2TY5","RUNADI Pest Repeller Upgraded Plug-in Pest Control Repeller for Mosquito, Insect, Mice, Spider, Bug, Ant, Cockroach, Rodent & Rats Indoor Use Rodent R","1","amazon.ca","Amazon","barrie","Ontario","L4N 7X4","Combined TCS+MTC","55.95","7.27","0","0","0","0","0","0","0","0","-7.27","-8.39","-5.92","0","0","41.64"
