"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 juin 2024 03:46:37 UTC","22308759322","Transfert","","","vers le compte finissant en : 564","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-30,50","-30,50"
"3 juin 2024 00:40:43 UTC","22308759322","Commande","402-6397353-3764342","LW-D4JM-MKRF","Collier Anti-Puces Et Anti-Tiques pour Chien 25 Pouces - Collier Anti Puces Chien - Anti Puce Collier Chien d'une Durée De 12 Mois avec Huiles Essent","2","amazon.fr","Amazon","Lavaurette","","82240","MarketplaceFacilitator","43,24","8,66","0","0","0","0","0","0","-8,66","-9,62","-8,90","0","0","24,72"
"4 juin 2024 13:06:40 UTC","22308759322","Frais de stock Expédié par Amazon","","","Frais de transport entrant ","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4 juin 2024 13:06:40 UTC","22308759322","Frais de stock Expédié par Amazon","","","Frais du service de transport entrant","","Amazon.fr","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7 juin 2024 10:28:32 UTC","22308759322","Commande","407-7044914-4841147","SN-84UG-BYLL","6PCS Bug Zapper - Pièges à Mouches d'intérieur pour Un Usage Domestique - Attrape-Mouches d'intérieur - Fly Zapper - Tueur de Mouches électroniqu","1","amazon.fr","Amazon","Prinçay","Nouvelle Aquitaine","86420","MarketplaceFacilitator","29,96","5,99","0","0","0","0","0","0","-5,99","-6,66","-5,92","0","0","17,38"
"8 juin 2024 02:47:45 UTC","22308759322","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-1,74","-0,35","-2,09"
"8 juin 2024 18:07:17 UTC","22308759322","Frais de service","","","Prix de la publicité","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-54,06","-10,81","-64,87"
"8 juin 2024 22:03:20 UTC","22308759322","Commande","403-4960150-7755557","SN-84UG-BYLL","6PCS Bug Zapper - Pièges à Mouches d'intérieur pour Un Usage Domestique - Attrape-Mouches d'intérieur - Fly Zapper - Tueur de Mouches électroniqu","1","amazon.fr","Amazon","Meillant","","18200","MarketplaceFacilitator","29,96","5,99","1,67","0,33","0","0","-1,67","-0,33","-5,99","-6,66","-5,92","0","0","17,38"
"9 juin 2024 00:49:07 UTC","22308759322","Commande","402-6551639-6233106","SN-84UG-BYLL","6PCS Bug Zapper - Pièges à Mouches d'intérieur pour Un Usage Domestique - Attrape-Mouches d'intérieur - Fly Zapper - Tueur de Mouches électroniqu","1","amazon.fr","Amazon","Mouroux","","77120","MarketplaceFacilitator","29,96","5,99","0","0","0","0","0","0","-5,99","-6,66","-5,92","0","0","17,38"
"9 juin 2024 01:46:36 UTC","22308759322","Commande","404-3339734-4145122","SN-84UG-BYLL","6PCS Bug Zapper - Pièges à Mouches d'intérieur pour Un Usage Domestique - Attrape-Mouches d'intérieur - Fly Zapper - Tueur de Mouches électroniqu","1","amazon.fr","Amazon","Clamart","","92140","MarketplaceFacilitator","29,96","5,99","0","0","0","0","0","0","-5,99","-6,66","-5,92","0","0","17,38"
